Rankings,Player,Projection,Projection/Salary
1,Matt Ryan,27.9,3.821917808219178
2,Carson Palmer,20.1,3.35
3,Colin Kaepernick,20.1,3.4655172413793105
4,Dak Prescott,19.6,3.1612903225806455
5,Drew Brees,18.5,2.803030303030303
6,Jameis Winston,17.9,2.9344262295081966
7,Philip Rivers,17.7,2.854838709677419
8,Tom Brady,17.3,2.582089552238806
9,Kirk Cousins,17.2,2.5294117647058822
10,Cam Newton,16.9,2.6406249999999996
11,Aaron Rodgers,16.8,2.366197183098592
12,Derek Carr,16.6,2.6349206349206353
13,Blake Bortles,16.2,3.2399999999999998
14,Marcus Mariota,15.899999999999999,2.446153846153846
15,Sam Bradford,15.8,3.16
16,Alex Smith,14.3,2.648148148148148
17,Andrew Luck,14.0,2.1875
18,Russell Wilson,13.8,2.1904761904761907
19,Trevor Siemian,13.8,2.6538461538461537
20,Matthew Stafford,13.2,2.0952380952380953
